A	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	p.value.BasalvsLP	p.value.BasalvsML	p.value.LPvsML	Res.BasalvsLP	Res.BasalvsML	Res.LPvsML	Genes.ENTREZID	Genes.SYMBOL	Genes.TXCHROM
6.19	0.298	1.735	1.438	0	1.78	1.14	0.9441	0.0567	0.14405	0	0	0	67731	Fbxo32	chr15
-0.68	0.448	-1.187	-1.635	0	-0.26	-0.77	0.79548	0.41114	0.23802	0	0	0	268807	Klhl38	chr15
7.44	0.407	0.203	-0.204	0	0	0	0.99834	0.99973	0.99985	0	0	0	210998	Fam91a1	chr15
5.95	0.764	1.178	0.415	0	0.8	0	0.83902	0.22452	0.98804	0	0	0	74868	Tmem65	chr15
1.56	-0.538	-0.736	-0.199	0	0	0	0.93676	0.82918	0.99411	0	0	0	68260	Trmt12	chr15
5.54	-0.024	-0.305	-0.281	0	0	0	0.99998	0.99945	0.99967	0	0	0	75841	Rnf139	chr15
3.2	-0.37	-0.311	0.06	0	0	0	0.99629	0.99794	0.99985	0	0	0	69694	Tatdn1	chr15
6.22	0.202	-0.214	-0.416	0	0	0	0.99933	0.99927	0.99712	0	0	0	66218	Ndufb9	chr15
7.88	1.032	-0.282	-1.314	0.17	0	-1.82	0.43382	0.99734	0.05335	0	0	0	211401	Mtss1	chr15
6.56	0.603	0.062	-0.54	0	0	0	0.97727	0.99985	0.99077	0	0	0	20775	Sqle	chr15
5.91	-0.855	-0.222	0.633	0	0	0	0.87576	0.99992	0.99497	0	0	0	223593	E430025E21Rik	chr15
4.14	-0.183	0.206	0.389	0	0	0	0.9998	0.99975	0.9989	0	0	0	68501	Nsmce2	chr15
9.46	-0.804	0.051	0.855	0	0	0	0.75218	0.99826	0.70939	0	0	0	211770	Trib1	chr15
5.67	-1.027	0.212	1.239	-0.17	0	1.61	0.43405	0.99947	0.07346	0	0	0	399603	Fam84b	chr15
1.8	0.687	1.573	0.886	0	1.68	0	0.82066	0.0655	0.62561	0	0	0	320469	9930014A18Rik	chr15
7.96	-0.21	0.873	1.083	0	0	0.42	0.99689	0.71403	0.34307	0	0	0	17869	Myc	chr15
3.5	0.519	-1.019	-1.538	0	-0.13	-3.41	0.98898	0.45128	0.00462	0	0	0	19296	Pvt1	chr15
0.92	3.733	1.775	-1.958	8.31	3.14	-2.92	0.00002	0.00699	0.00975	1	1	0	67552	H2afy3	chr15
5.17	1.31	0.898	-0.412	1.34	0	0	0.10905	0.66917	0.98532	0	0	0	223601	Fam49b	chr15
4.85	0.871	2.028	1.157	0	6.35	1	0.78495	0.00011	0.17297	0	1	0	13196	Asap1	chr15
6.71	0.185	0.439	0.254	0	0	0	0.99995	0.99939	0.99995	0	0	0	76740	Efr3a	chr15
6.28	-0.04	0.369	0.408	0	0	0	0.99866	0.97605	0.97618	0	0	0	239510	Phf20l1	chr15
-2.14	4.005	5.027	1.021	5.16	6.51	0.03	0.00045	0.0001	0.49678	1	1	0	21819	Tg	chr15
1.05	3.543	4.99	1.446	6.23	8.6	0.9	0.00013	0.00001	0.1978	1	1	0	22402	Wisp1	chr15
9.4	-1.913	-0.81	1.103	-3.71	0	0.45	0.00303	0.77152	0.33245	-1	0	0	17988	Ndrg1	chr15
8.57	-1.358	-1.44	-0.081	-1.13	-1.38	0	0.14515	0.10244	0.99582	0	0	0	20442	St3gal1	chr15
3.3	-0.096	-0.022	0.074	0	0	0	0.99984	0.99997	0.9999	0	0	0	380993	Zfat	chr15
5.44	-0.531	1.28	1.811	0	0.94	2.88	0.92907	0.18746	0.01032	0	0	0	13992	Khdrbs3	chr15
5.61	-0.422	-1.02	-0.598	0	-0.15	0	0.99893	0.44044	0.99467	0	0	0	76510	Trappc9	chr15
5.16	0.136	0.556	0.421	0	0	0	0.99987	0.99281	0.9986	0	0	0	353342	Peg13	chr15
4.39	-0.643	-0.334	0.309	0	0	0	0.98282	0.99928	0.99958	0	0	0	100041120	Gm3150	NA
4.05	0.117	-0.211	-0.328	0	0	0	0.99994	0.99988	0.99968	0	0	0	93696	Chrac1	chr15
7.01	0.24	0.347	0.107	0	0	0	0.99921	0.99802	0.99986	0	0	0	239528	Ago2	chr15
6.47	-0.157	-0.619	-0.462	0	0	0	0.99996	0.99405	0.99941	0	0	0	14083	Ptk2	chr15
0.6	0.167	0.584	0.417	0	0	0	0.99692	0.94264	0.98033	0	0	0	100040929	Gm10362	NA
4.04	-1.538	-1.771	-0.233	-1.95	-2.85	0	0.04342	0.01087	0.99351	0	-1	0	105841	Dennd3	chr15
5.18	-0.006	-0.579	-0.573	0	0	0	0.99999	0.98393	0.98722	0	0	0	106068	Slc45a4	chr15
3.19	1.677	0.395	-1.282	3.65	0	-1.56	0.0033	0.99689	0.0791	1	0	0	19245	Ptp4a3	chr15
-2.39	6.096	4.961	-1.135	7.46	6.31	-0.18	0.00004	0.00012	0.44078	1	1	0	107831	Adgrb1	chr15
7.53	4.557	5.588	1.031	7.54	9.72	0.08	0.00004	0.00001	0.47019	1	1	0	11838	Arc	chr15
1.77	-0.196	-0.532	-0.336	0	0	0	0.99292	0.94926	0.98568	0	0	0	16469	Jrk	chr15
1.13	1.172	-0.701	-1.873	0.48	0	-2.58	0.32177	0.82772	0.01639	0	0	0	223626	Them6	chr15
4.27	0.92	0.535	-0.385	0	0	0	0.64017	0.97195	0.99051	0	0	0	23936	Lynx1	chr15
6.24	-4.681	-7.039	-2.357	-12.66	-20.33	-5.66	0	0	0.00024	-1	-1	-1	17068	Ly6d	chr15
0.1	0.568	-0.344	-0.912	0	0	0	0.91846	0.98314	0.62462	0	0	0	78725	D730001G18Rik	chr15
2.41	-2.24	-3.178	-0.938	-4.38	-8.01	0	0.00119	0.00002	0.60537	-1	-1	0	76486	Ly6k	chr15
1.63	-4.838	-7.454	-2.616	-9.35	-16.03	-7.09	0.00001	0	0.00005	-1	-1	-1	67038	2010109I03Rik	chr15
10.54	-1.588	-1.683	-0.095	-4.34	-5.01	0	0.00125	0.00053	0.99996	-1	-1	0	17069	Ly6e	chr15
0.39	-1.79	-1.514	0.276	-1.73	-1.12	0	0.06161	0.1472	0.96103	0	0	0	57248	Ly6i	chr15
5.89	-2.515	-4.756	-2.24	-4.9	-12.02	-4.52	0.00061	0	0.00099	-1	-1	-1	110454	Ly6a	chr15
2.99	-0.409	-1.094	-0.684	0	-0.31	0	0.94872	0.38383	0.84055	0	0	0	17067	Ly6c1	chr15
0.99	0.355	0.345	-0.01	0	0	0	0.92922	0.93599	0.99858	0	0	0	22701	Zfp41	chr15
3.25	0.114	0.157	0.043	0	0	0	0.99981	0.99974	0.99995	0	0	0	72960	Top1mt	chr15
0.01	4.525	2.805	-1.72	10.27	6.89	-2.06	0	0.00006	0.03669	1	1	0	14787	Rhpn1	chr15
-0.93	3.983	4.592	0.608	5.04	6.02	0	0.00053	0.00017	0.73271	1	1	0	378435	Mafa	chr15
1.68	-0.544	-0.624	-0.08	0	0	0	0.96199	0.93878	0.99927	0	0	0	223642	Zc3h3	chr15
2.04	2.462	1.057	-1.405	5.06	0.24	-1.41	0.0005	0.41008	0.09756	1	0	0	69146	Gsdmd	chr15
-0.35	1.208	1.516	0.307	0.52	1.3	0	0.3078	0.11477	0.93967	0	0	0	223645	Mroh6	chr15
3.58	1.294	-0.004	-1.297	1.49	0	-1.57	0.08705	0.99999	0.07741	0	0	0	223646	Naprt	chr15
7.42	-0.255	0.143	0.398	0	0	0	0.9999	0.99996	0.99974	0	0	0	66656	Eef1d	chr15
1.77	0.852	1.475	0.624	0	1.72	0	0.70185	0.06243	0.88989	0	0	0	105734	Tigd5	chr15
4.09	0.221	-0.205	-0.426	0	0	0	0.99927	0.99949	0.99666	0	0	0	66194	Pycrl	chr15
5.14	-0.626	-1.199	-0.573	0	-1.85	0	0.9954	0.05112	0.99848	0	0	0	22122	Tsta3	chr15
3.93	-0.431	-0.05	0.381	0	0	0	0.98599	0.99951	0.99169	0	0	0	78834	Zfp623	chr15
2.21	0.918	0.839	-0.079	0	0	0	0.57555	0.64961	0.98628	0	0	0	69020	Zfp707	chr15
-0.29	0.77	0.115	-0.655	0	0	0	0.71264	0.98658	0.80342	0	0	0	223648	Ccdc166	chr15
0.28	1.834	1.197	-0.637	2.04	0.54	0	0.03795	0.30334	0.79911	0	0	0	332110	Mapk15	chr15
7.5	-1.212	-0.823	0.388	-0.65	0	0	0.26653	0.69966	0.96187	0	0	0	105732	Fam83h	chr15
1.03	-0.506	0.354	0.861	0	0	0	0.95576	0.98001	0.69893	0	0	0	432964	K230010J24Rik	NA
6.83	0.584	0.483	-0.101	0	0	0	0.99628	0.99887	0.99999	0	0	0	105782	Scrib	chr15
7.34	0.149	0.129	-0.02	0	0	0	0.99997	0.99998	1	0	0	0	67959	Puf60	chr15
7.29	-0.597	0.18	0.777	0	0	0	0.9826	0.99961	0.91661	0	0	0	223649	Nrbp2	chr15
6.62	0.068	0.133	0.065	0	0	0	0.99622	0.99211	0.99739	0	0	0	223650	Eppk1	chr15
9.51	-0.218	-1.444	-1.227	0	-2.89	-1.61	0.99962	0.01015	0.07358	0	-1	0	18810	Plec	chr15
4.94	-0.592	-0.933	-0.341	0	0	0	0.98383	0.66184	0.99898	0	0	0	671535	Parp10	chr15
7.04	-1.081	-1.913	-0.832	-0.51	-5.75	0	0.3104	0.00022	0.85499	0	-1	0	66168	Grina	chr15
5.54	-1.092	-2.28	-1.188	-0.46	-6.43	-1.02	0.3299	0.0001	0.16941	0	-1	0	75475	Oplah	chr15
3.27	0.561	-0.105	-0.666	0	0	0	0.98339	0.9998	0.96172	0	0	0	109075	Exosc4	chr15
5.25	0.082	-0.346	-0.428	0	0	0	0.99998	0.99971	0.99948	0	0	0	14731	Gpaa1	chr15
6.6	0.429	-0.085	-0.514	0	0	0	0.99863	0.99995	0.99777	0	0	0	66445	Cyc1	chr15
4.7	-0.207	-0.587	-0.38	0	0	0	0.9999	0.99552	0.99965	0	0	0	106025	Sharpin	chr15
5.57	0.245	0.028	-0.218	0	0	0	0.9964	0.99975	0.99791	0	0	0	68877	Maf1	chr15
3.46	0.242	0.416	0.174	0	0	0	0.99881	0.9952	0.99939	0	0	0	59053	Hgh1	chr15
5.84	-0.6	-0.411	0.189	0	0	0	0.99138	0.99887	0.99991	0	0	0	223658	Mroh1	chr15
5.8	0.167	-0.053	-0.22	0	0	0	0.99993	0.99998	0.99993	0	0	0	12181	Bop1	chr15
2	2.736	3.83	1.094	5.26	7.87	0.25	0.00039	0.00003	0.40586	1	1	0	20289	Scx	chr15
5.67	0.406	0.493	0.088	0	0	0	0.99961	0.99899	0.99999	0	0	0	15499	Hsf1	chr15
4.51	-0.555	0.171	0.726	0	0	0	0.98992	0.99967	0.94856	0	0	0	13350	Dgat1	chr15
4.79	0.295	0.136	-0.159	0	0	0	0.99975	0.99995	0.99995	0	0	0	30840	Fbxl6	chr15
3.27	-0.121	-0.418	-0.297	0	0	0	0.997	0.97868	0.99097	0	0	0	52710	Slc52a2	chr15
4.63	-0.409	-1.815	-1.406	0	-5.19	-2.71	0.99649	0.00042	0.0135	0	-1	0	268822	Adck5	chr15
6.6	-0.148	-0.081	0.067	0	0	0	0.99998	0.99999	1	0	0	0	94230	Cpsf1	chr15
2.59	-1.19	0.373	1.562	-0.61	0	1.77	0.27921	0.95055	0.05722	0	0	0	72027	Slc39a4	chr15
5.76	-0.328	-0.378	-0.05	0	0	0	0.99977	0.99963	0.99999	0	0	0	66914	Vps28	chr15
3.21	-0.013	0.629	0.642	0	0	0	0.99989	0.93906	0.93652	0	0	0	72749	Tonsl	chr15
5.31	-0.005	-0.515	-0.511	0	0	0	0.99999	0.99452	0.99583	0	0	0	54151	Cyhr1	chr15
3.08	-0.105	-0.273	-0.168	0	0	0	0.99481	0.984	0.99271	0	0	0	16581	Kifc2	chr15
4.98	-0.369	-0.769	-0.4	0	0	0	0.99936	0.9456	0.99942	0	0	0	73062	Ppp1r16a	chr15
3.41	0.217	0.621	0.404	0	0	0	0.9992	0.97167	0.99613	0	0	0	76282	Gpt	chr15
1.49	1.432	0.475	-0.957	1.7	0	0	0.06394	0.97523	0.56609	0	0	0	69572	Mfsd3	chr15
1.6	2.055	2.233	0.178	5.64	6.73	0	0.00025	0.00008	0.99846	1	1	0	79456	Recql4	chr15
3.34	0.154	0.03	-0.124	0	0	0	0.99881	0.99984	0.99925	0	0	0	223664	Lrrc14	chr15
-0.08	1.226	1.397	0.171	0.66	1.17	0	0.26555	0.13816	0.98065	0	0	0	378937	Lrrc24	chr15
2.46	0.265	-0.199	-0.464	0	0	0	0.99673	0.99854	0.98742	0	0	0	223665	C030006K11Rik	chr15
4.77	0.919	0.913	-0.006	0	0	0	0.66764	0.68205	0.99998	0	0	0	223666	Arhgap39	chr15
2.43	1.516	0.98	-0.537	3.2	0	0	0.00636	0.55219	0.98935	1	0	0	71591	Zfp251	chr15
4.38	-0.15	-0.643	-0.492	0	0	0	0.99993	0.99013	0.99862	0	0	0	223669	Zfp7	chr15
1.95	-0.122	-0.843	-0.721	0	0	0	0.99737	0.74457	0.87367	0	0	0	66398	Commd5	chr15
10.09	-0.137	-0.031	0.106	0	0	0	0.99993	0.99999	0.99997	0	0	0	26961	Rpl8	chr15
0.09	-0.128	-0.101	0.028	0	0	0	0.97728	0.98333	0.99564	0	0	0	239546	Zfp647	chr15
3.54	0.317	0.011	-0.306	0	0	0	0.99921	0.99999	0.99942	0	0	0	117171	1110038F14Rik	chr15
1.9	-0.148	-0.592	-0.444	0	0	0	0.99854	0.96365	0.98915	0	0	0	17189	Mb	chr15
0.11	-0.949	-0.685	0.264	0	0	0	0.56675	0.84246	0.98637	0	0	0	71939	Apol6	chr15
6.86	1.594	1.08	-0.514	4.72	0.64	0	0.00076	0.2706	0.99854	1	0	0	93686	Rbfox2	chr15
0.75	-5.705	-4.491	1.214	-10.48	-7.69	0.76	0	0.00003	0.23373	-1	-1	0	75761	Apol7a	chr15
-0.56	-3.692	-4.218	-0.526	-8.16	-9.94	0	0.00002	0	0.95999	-1	-1	0	223672	Apol9a	chr15
0.4	5.218	5.92	0.702	12.28	13.67	0	0	0	0.76072	1	1	0	328561	Apol10b	chr15
2.96	0.825	1.817	0.992	0	3.59	0	0.78059	0.00357	0.51282	0	1	0	239552	Apol8	chr15
10.69	0.631	0.627	-0.003	0	0	0	0.96187	0.96231	0.99999	0	0	0	17886	Myh9	chr15
6.04	0.262	0.123	-0.139	0	0	0	0.99968	0.99992	0.99993	0	0	0	56551	Txn2	chr15
3.04	2.722	1.25	-1.473	7.82	1.33	-2.16	0.00003	0.11023	0.03126	1	0	0	239554	Foxred2	chr15
6.61	0.046	-0.064	-0.11	0	0	0	1	0.99999	0.99999	0	0	0	55944	Eif3d	chr15
1.14	-0.432	0.72	1.152	0	0	0.54	0.96461	0.81932	0.30141	0	0	0	100504021	Gm17638	NA
2.88	0.533	-0.033	-0.566	0	0	0	0.99267	0.99998	0.99125	0	0	0	67042	Ift27	chr15
1.56	3.251	2.289	-0.962	2.73	1.74	0	0.01339	0.06112	0.54197	0	0	0	12984	Csf2rb2	chr15
1.72	3.094	2.411	-0.683	2.75	2	0	0.01292	0.0409	0.68357	0	0	0	12983	Csf2rb	chr15
4.53	-1.177	-2.007	-0.83	-1.33	-7.79	0	0.10946	0.00003	0.90373	0	-1	0	22117	Tst	chr15
5.48	-0.984	-1.202	-0.218	0	-1.6	0	0.54761	0.07454	0.99992	0	0	0	246221	Mpst	chr15
4.04	2.779	1.703	-1.076	8.62	3.78	-0.37	0.00001	0.00272	0.35979	1	1	0	72844	Kctd17	chr15
1.46	-1.827	-5.047	-3.22	-1.93	-10.37	-6.79	0.04533	0	0.00007	0	-1	-1	71753	Tmprss6	chr15
0.02	2.936	1.187	-1.75	3.39	0.4	-1.32	0.00487	0.35215	0.11293	1	0	0	16185	Il2rb	chr15
4.18	2.444	0.327	-2.117	4.93	0	-3.97	0.00058	0.98655	0.00208	1	0	0	72709	C1qtnf6	chr15
-1.35	6.028	4.627	-1.4	11.68	10.72	-0.89	0	0	0.20009	1	1	0	20607	Sstr3	chr15
-1.38	3.771	3.161	-0.61	5.57	4.8	0	0.00028	0.0007	0.76845	1	1	0	17305	Mfng	chr15
5.68	1.85	1.403	-0.447	2.7	1.3	0	0.01367	0.11457	0.95109	0	0	0	105844	Card10	chr15
6.55	-1.084	-0.756	0.327	-0.48	0	0	0.3222	0.9	0.99836	0	0	0	104445	Cdc42ep1	chr15
-0.22	-1.936	-1.019	0.917	-2.05	-0.04	0	0.03727	0.48552	0.57811	0	0	0	107753	Lgals2	chr15
6.16	-0.099	-0.28	-0.181	0	0	0	0.99999	0.99992	0.99998	0	0	0	106039	Gga1	chr15
4.76	1.473	0.674	-0.8	2.55	0	0	0.01723	0.9488	0.85391	0	0	0	20401	Sh3bp1	chr15
-0.28	3.098	2.445	-0.653	4.49	3.46	0	0.00105	0.00434	0.7551	1	1	0	57028	Pdxp	chr15
4.46	4.552	4.947	0.395	11.79	13.15	0	0	0	0.95677	1	1	0	16852	Lgals1	chr15
4.78	0.125	0.18	0.056	0	0	0	0.9999	0.99983	0.99997	0	0	0	97961	Nol12	chr15
5.46	0.097	-0.544	-0.641	0	0	0	0.99988	0.9925	0.98283	0	0	0	110253	Triobp	chr15
7.41	-0.531	-2.127	-1.596	0	-4.68	-2.66	0.95953	0.00081	0.01451	0	-1	0	14958	H1f0	chr15
3.08	1.724	1.539	-0.186	3.2	2.5	0	0.00635	0.01859	0.99656	1	0	0	26912	Gcat	chr15
4.21	0.077	0.24	0.163	0	0	0	0.99945	0.99753	0.99884	0	0	0	223690	Ankrd54	chr15
7.67	0.018	-0.088	-0.106	0	0	0	1	0.99998	0.99999	0	0	0	223691	Eif3l	chr15
7.1	0.249	0.809	0.56	0	0	0	0.99721	0.815	0.97761	0	0	0	27008	Micall1	chr15
0.26	0.481	0.373	-0.108	0	0	0	0.96026	0.98192	0.9971	0	0	0	27660	1700088E04Rik	chr15
4.7	0.668	0.008	-0.66	0	0	0	0.94659	0.99998	0.95672	0	0	0	69833	Polr2f	chr15
7.1	-1.32	0.376	1.695	-1.09	0	2.56	0.15388	0.96887	0.01698	0	0	0	20665	Sox10	chr15
-0.18	-1.379	0.34	1.719	-1.17	0	2.15	0.13847	0.94937	0.03195	0	0	0	100041655	Gm10863	chr15
4.92	-0.607	-0.701	-0.093	0	0	0	0.99657	0.98809	0.99999	0	0	0	18693	Pick1	chr15
0.61	-0.001	1.095	1.096	0	0.34	0.35	0.99997	0.37035	0.36755	0	0	0	57274	Slc16a8	chr15
4.33	-0.862	-0.863	-0.001	0	0	0	0.79154	0.79182	1	0	0	0	53357	Pla2g6	chr15
9.1	-0.07	1.02	1.09	0	0.08	0.41	0.99862	0.46721	0.34504	0	0	0	17133	Maff	chr15
5.4	0.427	0.142	-0.285	0	0	0	0.99904	0.99994	0.99983	0	0	0	223693	Tmem184b	chr15
6.44	-0.816	-0.947	-0.132	0	0	0	0.94169	0.68535	0.99999	0	0	0	27373	Csnk1e	chr15
0.43	-2.323	-2.884	-0.56	-3.05	-4.48	0	0.008	0.00106	0.88579	-1	-1	0	100503109	Gm16059	NA
2.82	1.99	1.975	-0.015	3.84	3.94	0	0.00251	0.00217	0.99954	1	1	0	105785	Kdelr3	chr15
9.27	-0.087	-0.145	-0.058	0	0	0	0.99995	0.99991	0.99998	0	0	0	67040	Ddx17	chr15
1.11	-0.392	-1.505	-1.113	0	-1.73	-0.4	0.95627	0.06093	0.34986	0	0	0	75729	Fam227a	chr15
3.13	1.252	0.519	-0.732	1.62	0	0	0.07197	0.99499	0.94121	0	0	0	73739	Cby1	chr15
5.36	0.182	-0.011	-0.193	0	0	0	0.99921	0.99997	0.99938	0	0	0	223696	Tomm22	chr15
6.34	0.153	0.468	0.315	0	0	0	0.99994	0.99877	0.99984	0	0	0	74158	Josd1	chr15
6.06	0.202	0.191	-0.01	0	0	0	0.99995	0.99996	1	0	0	0	14904	Gtpbp1	chr15
8.19	-0.987	-0.691	0.296	0	0	0	0.53937	0.97769	0.99981	0	0	0	223697	Sun2	chr15
2.21	-0.33	-0.348	-0.017	0	0	0	0.97818	0.97794	0.99945	0	0	0	100504191	Gm16576	chr15
4.36	0.111	-0.482	-0.593	0	0	0	0.99944	0.98958	0.97489	0	0	0	54152	Dnal4	chr15
5.8	1.789	1.758	-0.031	3.82	3.69	0	0.00258	0.00308	0.99983	1	1	0	494448	Cbx6	chr15
5.06	0.412	0.377	-0.036	0	0	0	0.99514	0.9966	0.99992	0	0	0	80287	Apobec3	chr15
4.47	-0.743	-1.122	-0.378	0	-0.6	0	0.87547	0.28191	0.99433	0	0	0	52609	Cbx7	chr15
6.49	0.792	0.861	0.07	0	0	0	0.72921	0.65867	0.99622	0	0	0	18591	Pdgfb	chr15
5.07	-0.751	0.047	0.797	0	0	0	0.94607	0.99997	0.91969	0	0	0	27367	Rpl3	chr15
-0.15	-0.916	0.554	1.469	0	0	1.04	0.57303	0.81654	0.16567	0	0	0	100302601	Snord83b	chr15
3.5	-2.882	-2.837	0.045	-9.38	-9.22	0	0.00001	0.00001	0.99992	-1	-1	0	20972	Syngr1	chr15
4.05	0.066	-0.339	-0.405	0	0	0	0.99975	0.99736	0.99583	0	0	0	66513	Tab1	chr15
2.02	3.044	0.037	-3.007	3.73	0	-3.8	0.00294	0.99484	0.00268	1	0	0	17309	Mgat3	chr15
5.2	-0.371	-0.399	-0.028	0	0	0	0.99734	0.99675	0.99996	0	0	0	239555	Mief1	chr15
8.76	-0.347	0.415	0.762	0	0	0	0.99752	0.9957	0.91857	0	0	0	11911	Atf4	chr15
4.06	-0.214	0.001	0.216	0	0	0	0.99933	1	0.99945	0	0	0	66538	Rps19bp1	chr15
3.3	1.199	0.478	-0.721	0.95	0	0	0.18593	0.98602	0.89356	0	0	0	213956	Fam83f	chr15
7.13	-0.548	-0.394	0.153	0	0	0	0.99074	0.99785	0.99984	0	0	0	213988	Tnrc6b	chr15
5.35	0.385	0.026	-0.359	0	0	0	0.9995	0.99999	0.99973	0	0	0	11564	Adsl	chr15
4.88	-2.203	-3.523	-1.32	-6.06	-12.88	-1.88	0.00015	0	0.04856	-1	-1	0	105835	Sgsm3	chr15
5.52	1.382	0.944	-0.438	3.04	0	0	0.00806	0.66944	0.99925	1	0	0	223701	Mkl1	chr15
0.25	2.49	0.382	-2.108	2.32	0	-1.77	0.02491	0.87831	0.05774	0	0	0	207911	Mchr1	chr15
6.15	-0.166	-1.15	-0.983	0	-0.98	0	0.99973	0.17696	0.54579	0	0	0	20524	Slc25a17	chr15
7.2	-0.283	-0.388	-0.105	0	0	0	0.99992	0.99977	0.99999	0	0	0	70356	St13	chr15
3.5	-0.738	-0.739	-0.001	0	0	0	0.95185	0.95378	1	0	0	0	321003	Xpnpep3	chr15
4.66	0.426	-0.131	-0.557	0	0	0	0.99572	0.99974	0.98846	0	0	0	56438	Rbx1	chr15
7.28	-0.247	-0.053	0.195	0	0	0	0.99986	0.99998	0.99995	0	0	0	328572	Ep300	chr15
3.16	0.392	-0.205	-0.598	0	0	0	0.98069	0.99586	0.93626	0	0	0	214669	L3mbtl2	chr15
4.3	2.878	3.88	1.002	6.79	9.75	0.01	0.00007	0.00001	0.49782	1	1	0	214685	Chadl	chr15
7.2	0.131	-0.139	-0.27	0	0	0	0.99977	0.99975	0.99951	0	0	0	19387	Rangap1	chr15
7.31	0.709	0.375	-0.334	0	0	0	0.97454	0.9994	0.99978	0	0	0	20286	Zc3h7b	chr15
5.42	0.709	-0.29	-0.999	0	0	0	0.97731	0.99983	0.50477	0	0	0	21685	Tef	chr15
7.47	-0.572	0.609	1.181	0	0	0.87	0.95245	0.94012	0.20468	0	0	0	57259	Tob2	chr15
4.63	0.653	0.613	-0.04	0	0	0	0.95131	0.96707	0.99986	0	0	0	68479	Phf5a	chr15
7.44	-0.022	-0.425	-0.403	0	0	0	1	0.99948	0.99976	0	0	0	11429	Aco2	chr15
4.57	0.077	0.05	-0.028	0	0	0	0.99984	0.99991	0.99996	0	0	0	78929	Polr3h	chr15
3.94	1.259	2.893	1.633	1.03	6.76	2.29	0.16652	0.00007	0.02559	0	1	0	105859	Csdc2	chr15
4.23	-0.459	-0.145	0.314	0	0	0	0.99056	0.99928	0.99773	0	0	0	29858	Pmm1	chr15
6.63	-0.759	-1.019	-0.26	0	-0.14	0	0.94534	0.44533	0.99983	0	0	0	28075	Desi1	chr15
5.04	0.452	0.051	-0.401	0	0	0	0.99598	0.99993	0.9981	0	0	0	14375	Xrcc6	chr15
4.93	0.942	0.782	-0.16	0	0	0	0.64805	0.91555	0.99984	0	0	0	20826	Nhp2l1	chr15
3.39	-0.823	-0.695	0.127	0	0	0	0.84929	0.95419	0.99983	0	0	0	76457	Ccdc134	chr15
8.29	-0.026	-0.225	-0.2	0	0	0	1	0.99992	0.99997	0	0	0	20788	Srebf2	chr15
0.05	5.093	5.663	0.57	7.05	7.84	0	0.00006	0.00003	0.75333	1	1	0	435145	Shisa8	chr15
1.46	3.528	2.861	-0.667	10.29	8.62	0	0	0.00001	0.88303	1	1	0	66570	Cenpm	chr15
-0.27	5.568	6.97	1.402	10.59	11.97	0.75	0	0	0.23935	1	1	0	24050	Sept3	chr15
5.59	-0.957	-1.395	-0.438	0	-3.46	0	0.64018	0.00431	0.99962	0	-1	0	17939	Naga	chr15
-0.3	1.988	1.7	-0.288	3.49	2.63	0	0.00412	0.01508	0.98057	1	0	0	338368	Fam109b	chr15
5.09	-0.121	-0.641	-0.52	0	0	0	0.99992	0.98603	0.99714	0	0	0	69029	Smdt1	chr15
4.22	-0.595	-0.891	-0.297	0	0	0	0.991	0.77991	0.99973	0	0	0	67130	Ndufa6	chr15
5.09	-1.908	-0.444	1.465	-3.73	0	2.03	0.00294	0.97224	0.03875	-1	0	0	56448	Cyp2d22	chr15
6.16	0.233	0.307	0.074	0	0	0	0.99989	0.99978	0.99999	0	0	0	21411	Tcf20	chr15
3.57	-0.649	-0.278	0.371	0	0	0	0.98109	0.99954	0.99918	0	0	0	68607	Serhl	chr15
4.51	-0.555	-0.737	-0.182	0	0	0	0.99662	0.96957	0.99995	0	0	0	74778	Rrp7a	chr15
7.14	-0.551	-0.345	0.206	0	0	0	0.99789	0.99979	0.99997	0	0	0	73826	Poldip3	chr15
7.23	-0.163	-0.637	-0.474	0	0	0	0.99996	0.99247	0.99934	0	0	0	109754	Cyb5r3	chr15
0.85	-2.662	-2.325	0.337	-5.68	-4.49	0	0.00024	0.00103	0.98689	-1	-1	0	239559	A4galt	chr15
5.28	-0.842	-0.838	0.004	0	0	0	0.82216	0.82928	1	0	0	0	66251	Arfgap3	chr15
2.33	0.338	0.499	0.161	0	0	0	0.99478	0.9829	0.99876	0	0	0	69291	1700001L05Rik	chr15
6.73	-0.231	-0.865	-0.634	0	0	0	0.99989	0.84921	0.99394	0	0	0	23970	Pacsin2	chr15
2.28	-0.002	-1.251	-1.249	0	-0.92	-0.91	0.9999	0.19294	0.19595	0	0	0	319953	Ttll1	chr15
2.94	-5.248	-5.447	-0.199	-15.25	-16.01	0	0	0	0.99948	-1	-1	0	12124	Bik	chr15
2.85	-0.159	-0.425	-0.266	0	0	0	0.99916	0.99378	0.99845	0	0	0	223722	Mcat	chr15
5.37	-0.57	-1.39	-0.82	0	-2.59	0	0.98872	0.01601	0.87983	0	0	0	12257	Tspo	chr15
5.15	0.278	-0.335	-0.612	0	0	0	0.99713	0.99598	0.96654	0	0	0	223723	Ttll12	chr15
1.47	-3.324	-2.255	1.068	-6.46	-3.4	0.23	0.0001	0.00474	0.41072	-1	-1	0	64706	Scube1	chr15
