"Term","Count","Box.Office","Critic.Score"
"digs",2,45.35,75.5
"dilapidated",3,7.18,46
"dilemma",2,0.75,85
"dilemmas",1,18.7,74
"dillinger",1,97,68
"dillon",1,0.3,47
"dimaso",1,150.1,93
"dime",1,0.07,25
"dimensions",1,0.1,61
"dink",2,0.02,19
"dinner",7,93.62,59.71
"dino",1,3.5,24
"dinorscio",1,0.6,61
"dinosaur",3,170.77,53.33
"dinosaurs",2,26.45,25
"dip",1,3.7,81
"diplomat",1,1.6,50
"dire",1,0.02,10
"direct",1,0.04,65
"directed",1,1.1,85
"directing",2,0.3,67
"direction",4,40.93,63
"directions",2,44.1,87
"directly",2,58.25,42
"director",15,22.13,66.4
"directors",1,0.05,34
"dirk",1,68.6,39
"dirt",2,75.15,49
"dirtiest",1,0.03,78
"dirty",10,32.39,49.5
"disabilities",1,0.1,33
"disabled",1,0.1,36
"disappear",2,2.15,23.5
"disappearance",8,28.59,45.13
"disappearances",2,31.55,45.5
"disappeared",5,6.44,47.6
"disappearing",2,17.44,79.5
"disappears",7,12.59,39.14
"disappointment",1,71.4,96
"disappointments",2,8.2,55
"disarming",1,7.5,84
"disarray",2,1.8,59.5
"disaster",7,24.91,73.43
"disasters",2,47.05,17
"disastrous",5,17.79,22.4
"disc",1,3.9,7
"discarded",1,85.5,60
"discharged",1,18.7,20
"discover",59,61.3,46.17
"discovered",4,43.81,44.5
"discoveries",1,3.2,80
"discovering",5,28.3,47.2
"discovers",62,41.72,43.58
"discovery",15,37.23,58.53
"discredited",1,0.8,53
"discreetly",1,7.8,9
"discuss",2,1.8,51.5
"discusses",1,0.1,83
"discussing",1,2.1,80
"disdain",1,0,0
"disease",9,11.46,77.44
"diseases",1,1,61
"disenchanted",1,55.6,30
"disfigured",2,33.2,36.5
"disgrace",1,8.3,42
"disgraced",9,65.21,42.33
"disgruntled",1,148.1,79
"disguise",3,42.67,16
"disguised",1,291,56
"disguises",2,0.45,37
"disgust",1,0.3,42
"disgusted",1,5.7,44
"dish",1,0.02,24
"dishonest",1,0.8,69
"dishonor",1,38.3,15
"disillusioned",5,33.5,27.6
"disintegrate",1,3.2,46
"disintegrates",1,0.8,69
"disintegrating",1,3.6,67
"disintegration",1,0.4,62
"disk",1,60.3,78
"disliked",2,34.3,37.5
"dislikes",1,28.1,28
"dismal",1,0.1,92
"dismantled",1,0.2,3
"dismay",1,53.4,6
"dismissed",1,12.3,77
"disney",6,27.06,63.83
"disneyland",1,16.9,30
"disobeys",1,29.1,16
"disorder",4,16.68,41.5
"disoriented",1,0.01,70
"disparate",1,1.1,49
"dispatched",6,186.65,72.83
"dispatcher",1,65.5,51
"dispatching",1,11,24
"dispenses",1,52.5,18
"dispiriting",1,26.1,98
"display",1,250.8,44
"displays",1,117.2,65
"displeasure",2,28.55,23
"disposal",1,0.3,50
"dispose",1,6.7,40
"dispossessed",1,0.04,38
"dispute",1,25.4,46
"disrupted",2,17.03,69
"disrupts",2,10.65,30.5
"dissertation",1,0.03,76
"dissociative",1,0.6,48
"distant",3,118.5,79.33
"distaste",1,0.09,26
"distinctly",1,0.2,73
"distract",2,28.4,35
"distractions",2,0.35,79.5
"district",7,59.71,44.29
"districts",2,416.3,86.5
"disturbed",6,31.35,41
"disturbing",5,17.06,36.6
"ditch",2,53.6,47.5
"diver",1,46.2,41
"diverged",1,37.7,64
"divergent",1,150.8,40
"divergents",2,150.8,40
"divers",3,21.3,34.67
"diverse",3,11.74,45.67
"diversify",1,1.7,57
"diverted",1,43.1,37
"divided",3,182.67,55
"divides",1,16,40
"divine",1,0.07,25
"diving",2,11.6,48.5
"division",4,17.18,52.5
"divisions",1,11.7,40
"divorc",2,2.64,61.5
"divorce",11,29.79,59.36
"divorced",16,42.64,40.31
"divorcing",1,3.1,70
"dixon",2,35.85,69.5
"diy",1,0.01,92
"dizzying",1,12.3,77
"dj",3,3.77,29.33
"djuna",2,0.01,58
"dmv",1,24.4,16
"dna",1,17,74
"doc",1,0.2,98
"doctor",23,54.52,42.52
"doctoral",1,0.5,38
"doctors",2,35.53,58.5
"document",4,12.85,53.75
"documentarian",1,2.8,98
"documentaries",2,19.75,53
"documentary",93,6.93,75.88
"documented",1,42.7,20
"documenting",1,0.4,53
"documents",4,9.83,77.75
"dodgeball",1,114.2,70
"dodgers",1,95,79
"dodges",1,227.4,93
"doers",1,151.9,4
"doesn",16,32.11,53.25
"dog",22,25.74,49.91
"dogg",1,9.8,8
"doggedly",1,40.2,9
"dogs",5,72.84,48
"dolittle",1,111.5,42
"doll",3,40.6,55.33
"dollar",9,15.9,51
"dollars",7,69.27,59.43
"dolls",1,0,10
"dolphin",3,48.27,85
"dome",1,183,90
"domestic",2,59.88,30
"domesticated",2,113.95,60
"dominance",1,42.9,40
"dominant",1,30,67
"dominate",1,178.1,45
"dominated",4,23.18,57.75
"domination",1,200,76
"domineering",2,5.15,25
"dominic",4,210.55,61
"dominican",1,1,92
"dominique",1,5.9,94
"don",17,21.7,57.59
"donald",1,0.1,83
"donations",1,30.7,39
"done",4,42.73,52.5
"donkey",1,320.7,40
"donna",1,43.8,8
"donny",2,36.9,20
"donor",1,27.8,51
"donors",1,54.4,30
"donovan",1,0.3,21
"dons",2,75.15,58
"doogal",2,7.3,8
"doom",6,185.72,60.5
"doomed",2,19.45,94.5
"door",6,44.89,44.67
"doors",1,0.2,70
"doorstep",1,114.9,45
"doorsteps",1,0.01,69
"dorado",1,0.3,13
"dorian",1,0.2,98
"dorm",1,10.2,13
"dormant",1,454.2,74
"dorothy",1,8.5,16
"dos",1,93.5,41
"dose",1,176.6,79
"dot",1,0.3,21
"double",8,42.45,45.38
"doubt",2,25.45,59
"doubts",1,116.6,76
"doug",2,127.35,66
"douglas",1,58.9,30
"dourif",1,17,32
"dover",1,61,82
"dowd",1,0.03,78
"downey",1,0.02,90
"downfall",1,0,0
"downpour",1,0.08,85
"downsizing",1,4.4,67
"downspiral",1,16.1,40
"downstairs",1,41.3,85
"downtown",2,0.03,13.5
"downtrodden",1,51.4,11
"downward",3,0.42,43.33
"downworld",1,31.2,12
"doyle",1,1.3,64
"dozen",1,0.9,49
"dozens",2,1.95,93.5
"dr",18,75,49.39
"draanen",1,1.8,55
"drab",1,0.01,50
"dracula",2,100.35,35
"draft",2,142.15,63.5
"drag",5,5.38,38.8
"dragged",1,402.1,19
"dragon",5,215.6,84.4
"dragonfly",1,25.8,16
"dragons",4,135.43,69.75
"drama",48,11.9,52.9
"dramas",3,40.37,30.67
"dramatic",8,24.24,35.75
"dramatically",2,43.3,76
"dramatization",4,35.93,76.25
"dramatized",1,0.6,63
"draw",1,377,95
"drawback",1,0.1,61
"drawing",1,12,15
"drawn",13,43.95,48.62
"draws",4,18.93,55.25
"dre",1,9.8,8
"dreads",1,74.2,3
"dream",30,38.45,38.03
"dreamed",1,40.2,27
"dreamer",1,0.01,50
"dreamlike",1,12.5,47
"dreams",36,47.4,47.44
"dreamz",1,7.2,41
"dress",3,62.13,23.33
"drew",3,8.53,40
"drift",1,62.5,37
"drifter",2,76.35,76
"drifters",1,5.2,48
"drifts",1,0.6,62
"drill",2,28.75,31
"drink",2,35.5,56.5
"drinking",6,16.6,48
"drive",9,28.74,42.22
"driven",10,27.16,43.3
"driver",14,41.06,52.07
"drivers",1,133.7,7
"drives",6,8.53,33.33
"driving",4,23.88,41.5
"droid",1,31.6,31
"drone",2,14.3,64
"drop",1,108.6,76
"dropout",1,16.1,27
"dropouts",1,0.1,61
"dropped",1,8.1,5
"dropping",1,6.5,2
"drops",1,27.8,61
"droughts",1,0.05,69
"drown",1,0.7,40
"drowns",1,0.3,42
"drug",57,30.82,50.14
"drugged",1,5.7,59
"druglord",1,20.1,42
"drugs",9,16.15,71.44
"drummer",4,44.2,47.25
"drunk",1,133.7,7
"drunken",2,17.3,54.5
"dry",1,7.4,81
"drying",1,2.3,78
"du",2,13.15,42.5
"dublin",2,14.45,38.5
"dubois",1,0.8,0
"duchess",1,13.8,61
"dude",1,0.04,0
"due",8,25.39,57.88
"duff",1,34,72
"duke",2,67.65,44.5
"duluoz",1,0.04,45
"dumas",1,26.6,11
"dumb",1,15,75
"dumbed",1,0.3,73
"dumbledore",1,292,79
"dumped",6,11.5,36.83
"dumps",3,44.57,42.33
"duncan",2,21.5,85
"dundee",1,25.3,11
"dungeon",1,50.8,56
"duo",9,27.97,40.67
"dupe",1,32,10
"duplicate",1,1.3,63
"dusk",1,4.2,96
"dust",1,2,19
"dusty",1,20.2,81
"dutch",2,0.95,81
"duties",3,18.52,40.33
"duty",10,66.05,50.6
"dwarves",3,221.93,62.33
"dweeb",1,37,49
"dweller",1,0.04,38
"dwellers",1,4,27
"dwelling",2,36.05,40.5
"dwindles",1,4.1,93
"dwindling",2,15.01,46
"dying",18,20.73,35
"dylan",4,15.18,38.5
"dynamic",4,4.09,49.75
"dynamics",3,6.26,58
"dynamite",1,0.1,85
"dysfunction",1,0.9,53
"dysfunctional",7,41.01,42
"e",12,40.71,52.5
"eager",1,36,35
"eagles",1,57.8,71
"earhart",1,14.2,20
"earl",2,3.2,64
"earlier",9,20.8,58.44
"early",23,43.15,60.83
"earn",4,28.61,38.5
"earned",1,68.4,6
"ears",1,50.8,56
"earth",46,88.59,45.22
"earthquake",1,0.04,35
"eases",1,0.01,47
"easier",1,0.4,81
"easily",1,0.3,73
"east",18,25.41,52.5
"easter",1,108,25
"eastern",4,46,36.5
"easy",5,55.48,57.8
"eat",2,70.05,71.5
"eatery",1,54.2,68
"eating",9,48.58,50
"ebert",1,0.8,97
"eccentric",13,38.03,52.54
"echelons",1,0.4,41
"echo",1,35.8,40
"echoes",1,0.03,68
"echolls",1,3.3,78
"ecological",2,9.52,79
"economic",6,0.89,71
"economically",1,60.6,81
"economics",1,0.1,65
"economy",5,14.72,32.4
"ecosystems",1,0.6,67
"ecstacy",1,138.4,23
"ecstasy",2,0.35,46.5
"ed",4,40.43,45.75
"eddie",2,15.15,35.5
"eden",1,0.01,62
"edgar",2,26.65,32.5
"edge",7,112.99,61
"edges",1,15.9,11
"edgy",1,22.5,36
"edie",1,1.6,19
"edit",1,0.5,37
"editor",8,20.72,75.75
"edmund",1,104.4,49
"eds",1,20.2,10
"educate",1,24.4,26
"educated",1,30.1,10
"education",7,16.24,48.86
"educational",2,10.35,42
"educator",1,0.05,42
"edvard",1,28.1,28
"edward",7,131.76,48.43
"eel",1,26.5,21
"eerie",1,37.4,95
"eeyore",1,26.7,90
"effect",1,0,80
"effects",3,32.94,82.33
"efficency",1,6.8,45
"efficient",1,4.2,96
"effort",17,68.33,47
"efforts",5,53.02,48.8
"egg",1,80.2,13
"eggs",1,196.6,45
"ego",5,38.75,58.8
"egocentric",2,42.75,34
"egos",1,1.6,78
"egotistical",1,3.8,13
"egypt",2,42.35,16
"egyptian",2,34,62.5
"eight",13,115.38,56.85
"eighteen",2,1.28,25
"eighth",1,1.8,55
"eighties",1,6.3,41
"either",2,0.07,73.5
"el",6,10.41,39
"elaborate",1,106,73
"elba",1,31.3,26
"elder",1,0,40
"elderly",6,5.81,60.67
"eldest",1,13.3,84
"eleanor",2,0.03,63.5
"elect",1,25,35
"elected",4,46.93,43.5
"election",3,17.6,46.33
"electric",3,0.9,79.33
"electrician",1,27.3,93
"electricity",1,13.6,63
"electrocuted",1,0.02,0
"electronic",2,0.12,49
"elektra",2,12.16,19
"element",1,0.06,70
"elementary",2,44.55,88
"elements",2,81.55,21.5
"elena",1,45.4,26
"elephant",2,83.15,66.5
"elephants",2,12.4,92.5
"elevates",1,0.01,50
"eleven",4,78.4,66
"elf",2,173.4,84
"eli",2,0.3,12.5
"eligibility",1,0.4,86
"eliminate",3,62.63,51.33
"eliminating",1,168.4,65
"eliot",1,0.2,91
"elise",2,45.15,39
"elite",17,34.05,43.47
"eliza",2,39.8,80
"elizabeth",6,70.8,62.33
"ella",5,121.74,59.8
"elle",2,47.85,66
"ellie",1,6.3,13
"elliot",4,33.5,49.5
"ellis",3,13.67,47.67
"elmo",2,0.3,95
"elsa",2,208.85,81.5
"else",3,33,47.67
"elude",1,121.5,83
"eluded",1,13.2,1
"elusive",3,86.33,14
"elves",1,12.4,18
"elvis",3,44.87,36.33
"em",1,13.8,36
"emancipate",1,182.2,90
"emancipated",1,3.5,75
"emancipation",1,49.1,48
"embark",17,51.74,51.82
"embarking",2,85.95,50
"embarks",13,39.68,54.31
"ember",2,7.8,53
"emblem",1,19.5,39
"embody",1,3.7,76
"embrace",2,162.15,87
"embraces",2,143.85,65.5
"embroiled",7,77.79,48
"emcee",2,11.3,69.5
"emcees",1,1,58
"emerge",3,98.13,31.67
"emergency",4,44,35.75
"emerges",4,52.05,53.25
"emerging",2,3.75,87.5
"emigrate",2,21.25,72.5
"emily",7,14.31,61.14
"emirates",1,95.3,15
"emma",1,47.1,73
"emmy",1,0.3,76
"emory",1,18.2,82
"emotional",4,15.52,44.25
"emotionally",2,5.72,57.5
"emotions",1,380.2,80
"emperor",6,109.13,62.33
"empire",8,34.61,59.63
"employee",12,29.04,45.92
"employees",6,18.6,60.5
"employer",5,24.22,56.2
"employing",1,75.6,95
"employment",3,19.9,66.33
"employs",3,15.07,75.67
"emporium",2,31.9,37
"empowered",1,0.6,31
"empress",1,14.8,10
"empty",1,0.02,75
"en",2,16,61
"enable",1,213.9,54
"enabled",1,100.1,90
"enables",3,68.97,45
"enacting",1,454.2,74
"enamored",2,82.85,67
"encased",1,183,90
"enchanted",1,234.9,59
"enchanting",2,1.25,49.5
"enchiladas",1,0.07,25
"encounter",24,47.98,48.13
"encountering",1,0.6,18
"encounters",13,13.29,35.77
"encouraged",1,3,56
"encroaching",1,2.8,80
"encrypted",1,38.9,48
"end",48,49.21,44.13
"endangered",5,10.32,62.6
"endeavor",3,100.9,67.67
"endeavoring",1,21.2,70
"endeavors",2,10.55,52.5
"ended",1,0.2,38
"ending",2,43.7,47
"endings",1,1.2,54
"endless",1,82.8,16
"endowed",1,40.2,9
"ends",14,42.94,39.14
"endured",3,30.35,71
"endures",2,8.15,39.5
"enduring",5,7.72,59.6
"enemies",5,26.08,50.2
"enemy",18,52.57,43.94
"energy",5,28.48,73.6
"enforcement",3,6.3,49.33
"enforcer",4,25.13,48.5
"engage",3,89.93,57.33
"engaged",5,37,6.8
"engages",1,19.6,37
"engaging",2,57.7,66.5
"engineer",6,88.42,54.67
"engineered",1,37.6,36
"engineering",1,0.05,69
"engineers",1,17,74
"england",13,52.58,56.54
"english",12,20.75,47.58
"englishman",1,15.3,63
"engrossing",1,6.4,89
"engulfing",1,20.4,24
"enhanced",3,43.5,38.33
"enhancing",1,0.2,96
"enigma",2,45.56,81
"enigmas",1,0.03,12
"enigmatic",4,115.83,52.5
"enjoy",1,3.7,81
"enjoying",1,2.8,0
"enjoys",2,41.95,50.5
"enlist",1,37.4,76
"enlisted",2,70.9,58.5
"enlists",11,39.99,42.45
"enough",5,28.4,40
"enroll",2,57.4,84.5
"enrolled",1,26.9,31
"enrolls",3,24.27,26
"ensconced",1,31.7,13
"ensemble",2,1.55,60.5
"enslaved",1,24.4,65
"enslaving",3,392.63,50.67
"ensue",2,40.25,84.5
"ensues",3,28.63,51
"ensuing",2,5.65,2
"ensure",3,97.33,68.33
"entangled",6,62.19,40.83
"enter",11,43.87,45.55
"entered",2,6.52,16.5
"entering",1,2.3,68
"enterprise",2,135.95,62
"enterprising",2,18.75,34
"enters",13,11.24,51.92
"entertainer",1,8.1,4
"entertainers",1,1,8
"entertainment",1,19.9,61
"enthusiasm",1,58.3,69
"enthusiast",1,0.2,54
"enthusiasts",2,3.62,62.5
"entire",18,31.98,48.11
"entirely",2,3.7,29.5
"entities",1,35.2,52
"entity",5,113,47.6
"entourage",1,5.5,6
"entrance",1,31.2,27
"entranced",2,9.2,27
"entrapped",1,10.1,37
"entrenched",2,28.4,31.5
"entrepreneur",3,21.2,25.67
"entrepreneurs",3,5.83,52.33
"entrusted",1,6.7,40
"entry",1,7.4,6
"entwined",2,6,70
"envelope",1,20.3,75
"enviable",1,0.04,15
"environment",4,14.48,52.5
"environmental",1,0.9,50
"environmentalists",1,0.3,85
"envisions",1,36.4,23
"epa",1,183,90
"epic",13,47.31,44.54
"epidemic",6,19.29,56.33
"epiphany",1,15.8,94
"episode",1,0.5,32
"episodic",1,2.8,73
"epner",1,3.7,50
"equal",1,9.2,84
"equality",1,93.1,68
"equally",2,84.75,57
"equilibrium",1,2.4,86
"equipment",2,3,71
"equipped",1,293,98
"er",2,23.56,36.5
"era",13,27.02,52.15
"eradicate",1,62.3,26
"erase",2,23,53
"erased",3,124.93,71.33
"erasing",1,26.6,8
"erebor",1,258.4,74
"eric",1,33,84
"erickson",1,27.7,36
"eris",1,26.3,46
"erlynne",1,0.1,37
"ernest",1,2.1,95
"ernie",2,21.2,42
"ero",2,0.2,43
"eroding",1,0.8,0
"erotic",1,0.03,38
"errand",2,9.7,43.5
"errol",1,0.3,29
"erroneously",1,47.8,42
"error",3,2.77,53
"erupts",1,23.2,28
"escadrille",1,13,33
"escalate",1,0.05,24
"escalates",1,66.7,77
"escalating",2,70.6,66
"escape",29,51.56,49.21
"escaped",10,72.43,41.9
"escapees",1,2.7,74
"escapes",16,55.35,57.94
"escort",5,7.03,44
"escorting",1,36.9,55
"escorts",1,0.5,42
"especially",1,18.6,13
"espionage",5,73.54,38.6
"essay",1,47.8,42
"essex",1,4.5,46
"establish",2,0.51,24
"established",4,15.4,40.75
"establishes",1,0,38
"establishing",1,42.9,40
"estate",16,18.9,44.56
"esteem",2,21.3,64
"esther",2,6.74,34
"estimate",1,281.5,73
"estranged",33,17.48,50.3
"etat",1,320.7,40
"eternal",3,100.5,66.67
"ethan",7,66.91,57
"ethical",2,15.25,53
"ethics",2,8.95,58
"ethnic",1,0.7,52
"ethnicity",1,0.3,9
"etiquette",1,24.4,26
"eugene",3,29.9,44.33
"europe",9,41.01,50.56
"european",6,50.72,55.5
"eustace",1,104.4,49
"eva",2,17.3,44
"evacuated",1,26.5,21
"evade",2,23.45,90
"evaded",1,66.4,29
"evaluate",2,3.4,20.5
"evaluating",1,30.2,32
"evan",1,100.3,23
"evangelical",1,41,72
"evangelist",2,0.95,0
"eve",13,27.04,41.77
"eveleth",1,18.3,68
"evelyn",2,0.55,60.5
"even",18,15.29,37.83
"evening",5,30.82,47.4
"event",17,47.92,50.53
"events",48,29.27,49.21
"eventual",2,1.31,86
"eventually",8,37.73,41.25
"ever",26,40.21,55.23
"everdeen",3,389.9,79.33
"everdene",1,9.9,85
"everest",1,0.9,76
"evers",1,75.8,13
"every",24,30.49,42.71
"everybody",2,97.69,64
"everyday",6,56.45,45.67
"everyman",1,6,94
"everyone",9,6.8,48.11
"everything",20,54.4,40.8
"everywhere",3,6.11,30.33
"evicted",1,12.9,75
"evicts",1,42.1,92
"evidence",4,29.3,54
"evil",53,67.94,41.36
"evolution",2,0.26,37.5
"evolved",3,64.33,71.67
"evolving",1,37.6,43
"evy",1,101.6,13
"ex",71,21.85,48.9
"exact",4,23.48,36.75
"exactly",3,8.45,29.33
"exam",1,31.2,27
"examination",9,2.83,74.11
"examine",4,6.83,42
"examines",8,7.18,48.63
"examining",1,0.9,50
"examples",1,14.1,28
"excellence",1,0.03,71
"excellent",1,0.05,80
"except",3,37.53,50.33
"exceptional",1,23.6,91
"excesses",1,0,0
"exchange",6,34.78,35.17
"exchanging",1,52.3,35
"excited",1,51.4,11
"exciting",2,11.6,26.5
"exclusive",2,8.85,77
"exec",2,22.8,60.5
"execute",1,0.3,85
"executed",3,23.53,46
"executing",1,2.3,74
"executioner",1,13.4,78
"executions",1,40,19
"executive",18,30.86,38.33
"executives",3,21.2,48.67
"exercise",2,15.95,34.5
"exert",1,0.8,0
"exes",2,32.9,61.5
"exhausted",1,6.8,67
"exhibit",1,32,25
"exhibitions",1,0.5,97
"exhibits",1,250.8,44
"exhilarating",2,0.25,34.5
"exile",5,131.85,61.2
"exiled",3,49.3,20.67
"exist",2,53.77,51.5
"existed",3,33.7,58.33
"existence",11,97.75,57.64
"existential",1,12.7,62
"exists",8,44.81,41.5
"exonerate",1,27.7,73
"exonerated",1,0.08,50
"exorcised",1,17.3,8
"exorcism",5,31.56,31.8
"exorcisms",1,53.2,6
"exotic",5,16.74,26.4
"expansion",1,113.2,55
"expansionist",1,33.1,62
"expatriated",1,14.1,22
"expatriates",1,13.1,50
"expectant",1,0.01,32
"expectations",5,36.58,67.8
"expected",5,29.72,51.2
"expecting",3,97.83,53
"expedition",8,35.48,31.25
"expeditions",1,0.1,67
"expelled",2,14.55,27
"expendables",2,62.15,49
"expense",1,14.3,75
"experience",19,22.89,36.68
"experienced",4,2.63,62.5
"experiences",14,20.93,55.5
"experiencing",3,57.47,37.33
"experiment",8,28.26,42.5
"experimental",3,48.47,55
"experiments",2,38.2,43
"expert",4,34.83,50.75
"experts",1,81.2,36
"expires",1,22.6,28
"explain",3,68.47,75.33
"explains",2,5.69,69
"explanations",1,50,41
"explicit",1,117.2,65
"exploded",1,4.9,58
"exploitation",1,1.3,77
"exploited",1,51.4,11
"exploration",6,14.21,67.33
"explore",3,56.6,58.67
"explorer",1,68.6,39
"explorers",2,82.6,60.5
"explores",13,3.6,63.54
"exploring",2,6.25,44.5
"explosion",3,0.4,79.67
"explosive",3,13.67,56
"exporter",1,127.1,36
"expos",1,0.4,92
"expose",6,9.35,51.5
"exposed",5,52.18,54
"exposes",2,1.22,84
"exposing",1,0.08,19
"exposure",1,154.5,26
"express",1,0.5,55
"expression",2,0.45,82.5
"extend",1,0.02,34
"extended",1,6.8,31
"extending",1,2.4,35
"exterminator",1,50.8,75
"extinguish",1,0.5,86
"extinguished",1,291,56
"extorted",1,17.8,79
"extortion",1,49.9,49
"extortionist",1,46.5,71
"extra",5,40.78,55.2
"extract",3,33.2,53.67
"extraordinary",12,39.02,48.67
"extrasensory",1,11.2,57
"extraterrestrial",4,56.95,66.5
"extravagant",2,6.9,30.5
"extravaganza",1,2.8,0
"extreme",3,47.5,52
"extremely",5,5.12,59
"extremes",1,0,66
"eye",8,5.91,54.25
"eyed",1,0.6,35
"eyes",6,3.97,64.83
"f",9,36.03,63.67
"fabious",1,21.6,27
"fable",3,9.57,63.67
"fabled",6,25.9,51.67
"fabric",1,0.7,85
"fabricated",1,2.1,91
"fabulous",1,1.2,55
"face",35,27.53,50.69
"facebook",1,96.9,96
"faced",12,41.18,57.92
"faceless",1,0.06,31
"faces",14,26.24,45.07
"facilitated",1,0.2,93
"facility",6,33.28,35.17
"facing",5,72.06,70.6
"fact",11,66.58,55.91
"faction",1,118.5,59
"factions",1,150.8,40
"factor",1,28.9,63
"factory",5,100.56,55.2
"factotum",1,0.6,76
"factual",1,0.2,82
"faded",4,40.1,85.25
"fading",4,3.58,49.75
"faeries",1,71.1,80
"fail",2,54.64,19
"failed",9,13.39,49
"failing",9,61.65,48.89
"fails",2,11.13,59.5
"failure",4,2.75,73
"fairfax",1,0.7,52
"fairies",1,12.4,18
"fairy",9,99.44,33.89
"faith",13,7.51,36.23
"faithfully",1,9.8,53
"fake",4,79.15,44.5
"fakes",4,30.5,20.25
"falangist",1,37.4,95
"falco",1,0.3,21
"falk",1,3.1,40
"fall",33,25.46,47.03
"fallen",8,21.33,48.75
"falling",16,25.08,53.19
"falls",58,52.08,47.21
"false",1,292.3,48
"falsely",2,36.55,66.5
"falters",1,2.4,94
"fame",15,29.05,61.8
"famed",5,89.68,69.2
"familial",1,6.4,89
"familiar",1,55.1,76
"families",20,27.42,51.95
"family",256,35.48,48.65
"famous",15,62.8,41.73
"famously",2,6.7,90
"fan",4,19.05,76.25
"fanatic",3,36.17,56.33
"fanatical",1,333.2,91
"fanatics",2,3.65,16
"fancies",1,34.3,31
"fanciful",1,13.4,45
"fans",5,12.51,50.8
"fantastic",5,63.38,44
"fantastical",1,187.2,70
"fantasy",7,27.31,59.71
"far",21,60.26,48.43
"farewell",1,0.4,100
"farm",11,54.96,65.82
"farmer",8,16.76,55.13
"farmers",1,20.9,92
"farmhand",1,65.2,52
"farmhouse",4,36.41,38.5
"farming",1,0.4,51
"fascinated",2,21.55,33
"fashion",7,29.97,67.43
"fashionista",1,60,68
"fast",12,53.69,50.5
"fat",2,41,48.5
"fatal",3,15.17,48
"fatale",2,34.45,34
"fatalistic",1,1.4,18
"fate",8,88.66,58.88
"fated",3,11.47,76.67
"fateful",6,34.27,45.83
"fates",3,61.31,59.67
"father",159,38.82,47.84
"fathered",3,25.43,45
"fathers",2,26.55,21.5
"faulkner",1,0.02,41
"fault",1,0.06,52
"faults",1,54.1,34
"faulty",1,33.1,53
"faux",1,0.1,37
"favor",2,17.55,39
"favorite",4,31.94,36.25
"fay",2,0.06,44
"fbi",39,51.33,38.56
"fear",5,28.68,17
"feardotcom",1,13.1,3
"feared",2,13.5,32.5
"fearing",3,12.07,24.33
"fearless",1,0.4,43
"fears",3,44.81,59
"fearsome",2,69.2,60.5
"feasting",1,10.2,4
"feat",1,8.2,54
"feathers",1,18.2,41
"feats",1,0.06,89
"feature",5,16.4,73
"featuring",10,8.57,49.2
"february",1,0.05,80
"federal",6,62.27,37.67
"federale",1,26.6,72
"federation",1,257.7,95
"feds",2,55.35,58.5
"feed",2,42.2,56
"feeding",1,35.1,23
"feel",3,11.8,45.33
"feeling",2,16.8,42
"feelings",6,26.15,55
"feels",3,282.23,72.33
"feet",2,51.75,38
"feisty",1,36.5,10
"feline",1,43.6,14
"felix",1,11.3,44
"fell",3,33.23,71.33
"fellers",1,3.3,31
"fellow",20,41.36,57.35
"fellowship",1,340.5,96
"felon",1,0,38
"felt",1,0.8,93
"female",20,28.31,40
"feminist",1,0.02,24
"femme",3,30.67,48
"fence",2,25.6,42
"fend",4,100.72,58.75
"fends",1,0.6,76
"feng",1,32.8,23
"ferlinghetti",1,0.04,45
"fermina",1,4.6,26
"fernandez",1,0.1,48
"fernando",1,0.4,52
"ferocious",1,32.6,41
"ferociously",1,25.9,12
"ferrell",1,58.3,69
"ferret",1,23.7,11
"ferro",1,0.3,80
"fertile",1,0.7,0
"fertility",1,30.7,39
"festival",2,0.16,11
"fetch",1,0.06,44
"feud",4,33.15,48.25
"feudal",1,15.6,49
"feuding",1,14.6,32
"fey",1,63.1,41
"fi",4,48.45,61
"fianc",10,34.69,44
"fiancee",4,13.45,50.25
"fiction",6,28.08,76.67
"fictional",6,24.11,57.83
"fictionalized",2,9.25,48
"fidler",1,8.3,11
"field",3,6.99,54.33
"fields",5,63.94,45.2
"fiend",1,32.8,23
"fierce",2,101.7,40.5
"fiercely",4,36.79,54.75
"fiercest",1,186.8,59
"fifteen",5,4.8,43
"fifth",3,17.77,31.33
"fifty",1,0.6,87
"fight",49,84.98,46.76
"fighter",10,19.43,52.4
"fighters",2,65.1,35
"fighting",20,55.04,53.4
"fights",20,79.33,49.7
"figure",8,17.16,42
"file",2,54.05,66.5
"filed",1,18.3,68
"filipino",1,1.5,74
"filled",5,165.78,67.2
"film",73,18.56,56.99
"filmed",5,19.16,70.2
"filming",4,27.38,55
"filmmaker",12,11.77,50.83
"filmmakers",4,1.76,84.25
"filmmaking",1,0.01,42
"films",6,37.79,31.17
"final",15,103.54,57
"finale",1,7.2,41
"finally",11,54.93,48.64
"finals",1,59.8,91
"finance",3,8,29
"financed",1,0.6,73
"financial",16,19.53,58.38
"financing",1,16.5,12
"finch",2,6.8,31
"find",168,53.26,47.05
"finding",15,20.18,42.8
"finds",165,42.98,48.35
"fine",1,177.6,69
"finest",1,181,77
"finish",1,0.3,25
"finished",2,15.3,41.5
"finkel",2,6.6,48
"finn",1,81.2,92
"fiona",2,378.6,64
"fioravante",1,3.8,54
"fire",8,51.25,31
"fired",5,6.64,48.8
"firefighter",2,36.75,29.5
"firefighters",1,119.7,14
